"NoCopyrightSounds ",34200000,12054607919,2026
"DanTDM ",29200000,20260403054,3779
"KSI ",24900000,6264811203,1269
"Mister Max ",25200000,16584780383,1218
"Jelly ",23400000,15297656051,6814
"Miss Katy ",25600000,16389237569,1164
"Dua Lipa ",24500000,15136097785,318
"Dan Rhodes ",26500000,19207158581,1701
"Ali-A ",19700000,7086985831,4881
"Gaby and Alex ",17300000,9412712412,368
"Sidemen ",22700000,7351325187,436
"Queen Official ",18700000,12917614950,1461
"Little Mix ",16500000,8429512513,278
"JJ Olatunji ",16800000,4582417331,1457
"F2Freestylers - Ultimate Soccer Skills Channel ",14000000,3393020544,783
"BBC News ",18800000,6421943783,27325
"BBC ",15100000,11597880768,25663
"Awakening Music ",15300000,6621339494,1073
"DisneyChannelUK ",13700000,14422710027,4749
"colinfurze ",13200000,1869974270,435
"Mrwhosetheboss ",21800000,7839619124,1852
"TommyInnit ",15000000,2603858140,524
"Morgz ",12600000,3598324066,906
"Tiana ",11300000,3260341119,1063
"DisneyJuniorUK ",14100000,22506924820,4774
"Emily Tube ",11000000,3819459737,718
"Slogo ",11800000,9396827352,7128
"Jessie J ",10800000,6278834650,266
"Sing King ",14100000,10590362436,5378
"BBC News ???? ",12800000,5606177214,46348
"Classic Mr Bean ",10900000,3581585158,2327
"Syndicate ",9560000,2143419171,3551
"Gorillaz ",12600000,7203644209,426
"Woody & Kleiny ",15900000,15679754941,1590
"Jungle Beat ",13000000,6861022751,1129
"Julius Dein ",9270000,2635569985,392
"The X Factor UK ",9240000,7144090534,5744
"English with Lucy ",12800000,581978553,432
"Shaun the Sheep ",13400000,7535744419,1297
"Cartoons for Kids ",9130000,3552913868,2948
"Mumbo Jumbo ",9640000,3312659189,2165
"Top Gear ",9410000,4098538625,1801
"Moonbug Kids - Kids Learning Videos ",14800000,10721905757,2232
"BBC Radio 1 ",8470000,4001077860,4322
"Liverpool FC ",11900000,3957608763,9022
"Grian ",8770000,2696235825,814
"Daz Games ",9300000,3125839102,1692
"Vikkstar123 ",7570000,2182299803,5116
"PlayToys ",8060000,3162137159,1015
"carwow ",10600000,5032110493,3251
"Jeremy Lynch ",13100000,7499353621,1161
"TomSka ",7460000,2154487823,180
"YOGSCAST Lewis & Simon ",7060000,4671790221,7375
"LDShadowLady ",7410000,3599380367,1096
"The Beatles ",9220000,8558005773,396
"Passenger ",7800000,5070008501,415
"MessYourself ",6890000,2595503769,1069
"MoreSidemen ",9430000,5686790656,1361
"Boomerang UK ",8360000,4497757490,3008
"James Arthur ",7760000,5178402321,304
"ARPO The Robot ",7920000,3545496783,1763
"24 News HD ",9300000,4223763711,210547
"RubyandBonnie ",10000000,6490768828,749
"Nickelodeon UK ",7650000,8198044119,3601
"Mark Ronson ",7170000,7221131104,20
"Rhia Official ",15200000,7644831067,1157
"UKF Dubstep ",6230000,2170310795,1963
"TGFbro ",6140000,1487819423,470
"Wilbur Soot ",5340000,806623793,140
"Russell Brand ",6760000,1612178035,4877
"Manchester United ",10500000,3117922682,5613
"Pingu - Official Channel ",7470000,3091487190,724
"Mrwhosetheboss Shorts ",7000000,3852326128,186
"Niko Omilana ",8200000,706797372,146
"Tiana Wilson ",5810000,1655558727,414
"Capital FM ",6420000,3942742174,3344
"Simon's Cat ",6460000,1702977998,663
"CGP Grey ",6850000,1173857130,196
"Jamie Oliver ",6120000,1040508219,2529
"ChrisMD ",6300000,1684624818,531
"Dumori Bay ",5240000,1146657,225
"Space Videos ",5520000,31242526,242
"Real Stories ",6630000,1058981707,1218
"More Emily ",5210000,1474154010,610
"GRM Daily ",6660000,8155782608,15479
"Joe Weller ",5330000,1032667717,334
"WildBrain Kids ",11900000,5813764018,5584
"Sky News ",8990000,5440993696,68322
"Jarvis ",5690000,1755396876,809
"Thoughty2 ",5660000,1146127159,937
"TheDadLab ",5160000,3071862386,853
"Behzinga ",4920000,584882499,872
"BBC Learning English ",9060000,440705527,4109
"Max and Katy ",4640000,1318322908,510
"Man City ",8800000,2697187705,9738
"Wisp ",5640000,1270037864,608
"WillNE ",5250000,918669897,317
"Zerkaa ",4690000,890652114,2030
"Ben Phillips ",4500000,1296449778,877
"Roxxsaurus ",4540000,559585046,1083
