#,Channel Name,Channel ID,NOMBRE,SEGUIDORES,TP,PAÍS,TEMA DE INFLUENCIA,ALCANCE POTENCIAL,GUARDAR,INVITAR A LA CAMPAÑA,Channel Name (API),Subscribers,Total Views,Total Videos
1,NoCopyrightSounds ,UC_aEa8K-EOJ3D6gOs7HcyNg,NoCopyrightSounds @UC_aEa8K-EOJ3D6gOs7HcyNg,32.9M,-,Reino Unido,Música,9.9M,,Ver Perfil,NoCopyrightSounds,34200000,12054607919,2026
2,DanTDM ,UCS5Oz6CHmeoF7vSad0qqXfw,DanTDM @UCS5Oz6CHmeoF7vSad0qqXfw,26.3M,-,Reino Unido,,7.9M,,Ver Perfil,DanTDM,29200000,20260403054,3779
3,KSI ,UCVtFOytbRpEvzLjvqGG5gxQ,KSI @UCVtFOytbRpEvzLjvqGG5gxQ,24M,-,Reino Unido,,7.2M,,Ver Perfil,KSI Music,24900000,6264811203,1269
4,Mister Max ,UC_8PAD0Qmi6_gpe77S1Atgg,Mister Max @UC_8PAD0Qmi6_gpe77S1Atgg,23M,0.001,Reino Unido,,6.9M,,Ver Perfil,Mister Max,25200000,16584780383,1218
5,Jelly ,UC0DZmkupLYwc0yDsfocLh0A,Jelly @UC0DZmkupLYwc0yDsfocLh0A,22.9M,-,Reino Unido,,6.9M,,Ver Perfil,Jelly,23400000,15297656051,6814
6,Miss Katy ,UCcartHVtvAUzfajflyeT_Gg,Miss Katy @UCcartHVtvAUzfajflyeT_Gg,22.6M,-,Reino Unido,,6.8M,,Ver Perfil,Miss Katy,25600000,16389237569,1164
7,Dua Lipa ,UC-J-KZfRV8c13fOCkhXdLiQ,Dua Lipa @UC-J-KZfRV8c13fOCkhXdLiQ,21.1M,-,Reino Unido,,6.3M,,Ver Perfil,Dua Lipa,24500000,15136097785,318
8,Dan Rhodes ,UC6D1L2vxEAg_Vi0JSxMBDgA,Dan Rhodes @UC6D1L2vxEAg_Vi0JSxMBDgA,17.7M,0.003,Reino Unido,,5.3M,,Ver Perfil,Dan Rhodes,26500000,19207158581,1701
9,Ali-A ,UCYVinkwSX7szARULgYpvhLw,Ali-A @UCYVinkwSX7szARULgYpvhLw,17.7M,-,Reino Unido,,5.3M,,Ver Perfil,Ali-A,19700000,7086985831,4881
10,Gaby and Alex ,UCHwBjRoGO1V-H8QYXjSVHkQ,Gaby and Alex @UCHwBjRoGO1V-H8QYXjSVHkQ,17M,-,Reino Unido,,5.1M,,Ver Perfil,Gaby and Alex,17300000,9412712412,368
11,Sidemen ,UCDogdKl7t7NHzQ95aEwkdMw,Sidemen @UCDogdKl7t7NHzQ95aEwkdMw,17M,0.028,Reino Unido,,5.1M,,Ver Perfil,Sidemen,22700000,7351325187,436
12,Queen Official ,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official @UCiMhD4jzUqG-IgPzUmmytRQ,16.3M,-,Reino Unido,,4.9M,,Ver Perfil,Queen Official,18700000,12917614950,1461
13,Little Mix ,UCIvqWqjC4aLvp7zI8hzARrA,Little Mix @UCIvqWqjC4aLvp7zI8hzARrA,16.1M,-,Reino Unido,,4.8M,,Ver Perfil,Little Mix,16500000,8429512513,278
